Date,Open,Max,Min,Close,Traded Volume
9/22/15,945,950.65,903.32,907.95,664284
9/23/15,907.95,916.06,897.2,914.35,664284
9/24/15,914.35,914.35,848.19,884.12,664284
9/25/15,884.25,894.67,872.82,883.77,664284
9/28/15,883.77,885.5,855.31,858.49,664284
9/29/15,858.49,859.79,836.46,852.22,664284
9/30/15,852.22,876.97,839.05,872.35,664284
10/1/15,872.35,879.65,865.75,871.67,664284
10/2/15,871.69,886.49,864.42,880.28,664284
10/5/15,880.22,885.13,872.12,881.83,664284
10/6/15,880.89,881.12,847.26,849.91,664284
10/7/15,849.91,850.73,820.13,835.43,664284
10/8/15,835.17,837.37,818.43,837.37,664284
10/9/15,837.37,847.19,832.21,843.48,664284
10/12/15,843.44,851.86,840.99,848.16,664284
10/13/15,848.16,852.38,835.78,844.23,664284
10/15/15,844.16,844.16,833.76,836.57,664284
10/16/15,836.57,836.69,795.14,804.99,664284
10/19/15,804.99,809.5,782.87,809.5,664284
10/20/15,809.5,809.5,792.73,794.34,664284
10/21/15,794.34,811.48,790.66,810.48,664284
10/22/15,810.48,811.66,777.79,777.79,664284
10/23/15,778.17,787.73,774.86,777.11,664284
10/26/15,777.11,787.42,770.65,774.4,664284
10/27/15,773.95,817.32,773.95,806.56,664284
10/28/15,806.56,812.73,789.45,793.61,664284
10/29/15,793.61,798.27,786.94,798.01,664284
10/30/15,797.98,797.98,787.43,793.19,664284
11/2/15,793.19,797.55,775.62,785.88,664284
11/3/15,785.88,792.35,770.62,787.34,664284
11/4/15,787.34,793.9,785.93,790.27,664284
11/5/15,790.27,791.6,770.65,774.48,664284
11/6/15,774.48,778.98,761.34,765.17,664284
11/9/15,765.17,765.8,733.37,740.75,664284
11/10/15,740.75,767.51,729.21,752.38,664284
11/11/15,752.38,752.59,735.89,739.19,664284
11/12/15,739.19,744.36,733.09,735.32,664284
11/13/15,735.32,739.04,721.99,739.04,664284
11/16/15,739.04,741.53,706.25,717.71,664284
11/17/15,716.7,722.81,685.38,719.47,664284
11/18/15,709.88,709.88,656.99,670.72,664284
11/19/15,670.05,688.29,670.05,685.31,664284
11/20/15,685.31,713.6,685.31,702.35,664284
11/23/15,702.35,717.64,702.35,714.26,664284
11/24/15,714.26,729.17,706.35,723.45,664284
11/25/15,723.45,745.18,710.58,739.36,664284
11/26/15,739.36,744.86,717.55,725.1,664284
11/27/15,725.1,734.68,702.42,714.41,664284
11/30/15,714.41,725.76,698.34,716.19,664284
12/1/15,716.19,721.76,699.29,708.22,664284
12/2/15,708.28,713.62,704.68,705.44,664284
12/3/15,705.44,716.43,704.66,711.46,664284
12/4/15,711.01,711.47,689.73,696.68,664284
12/7/15,696.68,702.94,692.57,700.07,664284
12/8/15,700.07,706.33,696.06,700.19,664284
12/9/15,697.26,702.69,692.99,702.27,664284
12/10/15,702.27,704.64,697.52,704.57,664284
12/11/15,704.57,705.21,693.31,694.89,664284
12/14/15,694.89,699.64,677.95,677.95,664284
12/15/15,678.79,694.99,677.15,688.03,664284
12/16/15,688.03,690.13,675,680.29,664284
12/17/15,697.1,697.1,671.85,683.76,664284
12/18/15,683.76,684.95,665.98,670.67,664284
12/21/15,670.84,670.84,647.34,660.1,664284
12/22/15,661.24,668.14,656.41,664.9,664284
12/23/15,664.9,672.11,663.25,672.11,664284
12/24/15,671.89,677.17,667.16,676.4,664284
12/25/15,676.4,678.08,663.63,665.84,664284
12/28/15,665.84,668.5,663.18,666.7,664284
12/29/15,666.7,670.44,666.24,667.25,664284
12/30/15,667.25,704.51,659.18,685.86,664284
1/5/16,685.86,687.1,678.24,682.31,664284
1/6/16,682.31,685.17,676.4,678.03,664284
1/11/16,677.23,688.34,661.04,662.13,664284
1/12/16,662.13,667.52,653.29,661.87,664284
1/13/16,664.56,684.95,657.04,681.1,664284
1/14/16,681.06,692.88,667.48,680.06,664284
1/15/16,680.06,680.06,655.58,659.93,664284
1/18/16,659.93,685.89,644.36,657.9,664284
1/19/16,657.9,669.51,640.57,649,664284
1/20/16,649,658.97,631.82,650.13,664284
1/21/16,655.12,662.48,652.23,656.68,664284
1/22/16,656.68,675.52,656.68,659.5,664284
1/25/16,659.5,679.79,658.61,658.99,664284
1/26/16,658.99,662.3,645.92,652.47,664284
1/27/16,654.41,655.83,633.05,638.62,664284
1/28/16,638.62,653.71,613.85,632.44,664284
1/29/16,632.44,653.04,632.44,651.95,664284
2/1/16,651.95,651.95,638.38,639.45,664284
2/2/16,639.45,643.03,634.75,642.65,664284
2/3/16,642.65,644.48,636.03,637.82,664284
2/4/16,637.82,641.44,630.16,630.17,664284
2/5/16,630.17,631.86,624.09,626.97,664284
2/8/16,626.97,630.81,623.05,626.75,664284
2/9/16,626.75,631.52,623.24,625.43,664284
2/10/16,625.43,625.43,611.88,620.41,664284
2/11/16,620.41,620.76,611.12,619.17,664284
2/12/16,619.17,639.79,618.38,622.57,664284
2/15/16,622.57,627.28,622.57,625.62,664284
2/16/16,625.62,630.22,605.94,619.25,664284
2/17/16,619.25,622.38,602.94,615.46,664284
2/18/16,615.46,630.39,610.77,628.27,664284
2/19/16,628.27,634.46,625.45,633.53,664284
2/22/16,633.53,636.12,626.41,626.78,664284
